,MH
14848,-0.28273001
14960,0.189023
15021,-0.42561099
15026,-0.0375471
15232,-0.27837601
15671,-0.50831801
15755,0.0
15819,-0.28297099
16119,-0.0407537
16123,0.176552
16229,-0.28672001
16243,-0.43016401
16680,0.0074088401
16969,-0.061654702
17001,-0.30796501
17410,-0.41
17591,0.094532602
17626,-0.106895
17733,-0.044369001
17950,-0.11073800000000002
18162,-0.025046798999999998
18386,0.020742301
18477,0.140798
18526,-0.021831499
18530,-0.181291
18666,-0.94
18750,-0.37105101
19059,-0.54000002
19107,0.0971319
19187,-0.46038999999999997
19720,-0.31999999
19776,-0.21646100000000001
19826,0.000270719
19869,0.30281001
19873,-0.367138
19979,-0.124574
19980,-0.228321
20286,-0.85000002
20439,-0.19502801
20464,-0.40448099
20496,-0.44
20522,-0.253295
20918,-0.159227
21121,-0.12567899999999999
21124,-0.44999999
21319,-0.130684
21383,0.0230093
21513,-0.052248700999999995
21540,0.070953399
21546,-0.33118001
21588,0.27000001
21676,-0.56588697
21680,-0.32069799
21685,0.166824
21838,0.285514
21970,-0.71998298
22162,0.061421301
22218,-0.063195303
22283,-0.093244798
22300,-0.45571801
22302,-0.17
