,ID,Teff,logg,MH
27180,246894668,5512.0,4.58636,
27271,246861842,4911.0,4.4768,
27307,246822869,5917.0,4.244180200000001,
27508,246854537,5592.0,4.5408101,
27532,246846895,6469.0,4.0392499,
27583,246894676,5831.0,4.27915,
27592,66409355,4878.0,4.2639298,
27711,246888051,6152.0,3.94368,
27735,43374317,5987.0,4.2160201,
27780,12418314,5985.0,4.3496199,
27784,63785541,6192.0,4.433229900000001,
27789,246894683,5502.7998,3.9844798999999997,-0.37
28007,246894701,4338.0,4.651579900000001,
28093,12422509,5635.0,4.0044097999999995,
28231,63787458,6145.0,4.1035199,
28339,246822906,6066.0,4.5226698,
28354,43374339,6237.0,3.84988,
28539,63785577,5470.7998,3.9498898999999996,-0.059999999000000005
28540,63785578,5783.0,4.2972698,
28612,246861884,5722.0,4.5935502,
28747,66413003,5435.0,4.647429900000001,
28913,12422536,6032.0,4.39639,
29063,12418355,5593.0,4.4746699,
29077,63787486,6132.0,4.0426002,
29173,66493183,6222.0,4.3508,
29254,246861920,5835.0,4.55861,
29261,246861927,5486.0,3.8399998999999996,
29404,63785603,5836.1001,4.0538201,-0.039999999
29478,246861935,6604.0,4.42905,
29587,246854612,5211.0,4.5783401,
29592,246854617,5215.0,4.5214,
29837,246846974,5743.0,4.28022,
30052,246846982,5556.1001,4.3803802,0.02
30060,43450287,5511.0,4.308350099999999,
30116,246861963,6173.0,4.1590300000000004,
30130,63785628,5811.0,4.1305299,
30158,12422578,6481.0,4.2951498,
30161,12422581,5974.0,4.6170902,
30173,43362709,6164.0,4.5763202000000005,
30210,246894770,6221.0,3.9837201,
30235,246888150,5475.0,3.82025,
30361,43362715,4901.0,4.4805002,
30620,246844288,6011.0,4.6028199,
30672,12418418,6205.0,3.9898900999999998,
30742,63785694,5749.8999,4.251510099999999,-0.81999999
30764,246854655,5823.0,4.056250100000001,
30773,43362734,5962.0,4.3799801,
30812,246894793,6157.0,4.2775998,
30838,246888851,5560.8999,3.8317599,-1.0700001000000001
30960,12422610,5990.0,4.4588299000000005,
31012,246894804,5985.0,4.3674998,
31030,246844314,4947.0,4.5081801,
31200,63785735,5437.7998,3.8102199999999997,-0.87
31214,246894805,5908.0,4.016200100000001,-0.19
31293,63787576,5733.0,4.4844999,
31454,246888878,6408.0,3.7197498999999996,-0.33000001
31504,63787580,5687.0,4.0932698,
31505,63787581,6494.0,4.55127,
31578,12422629,6240.0,4.2464699999999995,
31897,43374456,5728.2998,4.3503699000000005,-0.44999999
32079,246888902,4465.0,4.6635799,
32089,246844379,5773.0,4.245940200000001,
32537,326104814,5738.0,4.3157401,
32654,246856221,5213.2002,3.9349599000000004,-0.51999998
32705,43450379,5845.0,4.093369999999999,
32717,246844426,5855.0,4.1382198,
32777,246847074,4963.0,4.3030900999999995,
32796,63905123,5607.0,4.71486,
32798,12418486,5853.0,4.3902602,
33027,246862069,5024.0,4.5273499,
33301,246856244,6058.0,4.3569002,
33306,43362817,5261.0,4.6286898,
33307,43362818,5673.0,4.3421998,
33361,12424166,6461.0,4.3700399,
33388,63785941,5875.2002,4.1631598,-0.27000001
33529,246856249,5618.0,3.9941599,
33585,12424172,6017.0,4.0391898,
33648,43395933,5864.0,4.0768699999999995,
33796,12424182,5303.0,4.3913698,-0.61000001
33800,246894894,5257.0,4.571269999999999,
